Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
329,Tìm người ở ghép phòng trọ gần ngã 3 Lũy Bán Bích và Lương Minh Nguyệt (gần Xí nghiệp Cầu Tre),8.4,,Tân Phú,Hồ Chí Minh,17/05/2018 
1110,"Cho thuê phòng trọ 25m2, giờ tự do hẻm 137 Trịnh Đình Trọng, quận Tân Phú. LH 0932123102",2.5,25.0,Tân Phú,Hồ Chí Minh,14/05/2018 
1114,"Chuyên cho thuê CH Era Town có thể dọn vào ở liền giá từ 1tr-3tr7, LH: 0969960067 Ms My",2.0,15.0,Quận 7,Hồ Chí Minh,14/05/2018 
1275,"Phòng gác lửng, máy lạnh, ban công, WC riêng, giờ tự do ở hẻm 457 HTP, Q7, giá 3,7tr- 0903893998",3.7,,Quận 7,Hồ Chí Minh,14/05/2018 
1592,"Cho thuê phòng full nội thất cho nữ trong căn hộ Hoàng Anh Gia Lai An Tiến Nhà Bè, LK Q7",3.8,,Nhà Bè,Hồ Chí Minh,14/05/2018 
2223,"Happyhome: Cho thuê phòng biệt thự tại đường Trần Não, Quận 2",9.0,22.0,Quận 2,Hồ Chí Minh,16/05/2018 
2618,"Cho thuê phòng trọ mới xây tại 377/8/34 Bạch Đằng, P15, Q Bình thạnh",3.0,20.0,Bình Thạnh,Hồ Chí Minh,14/05/2018 
3345,"Phòng đẹp bao điện nước 118 Nguyễn Thị Thập, Q7, DT 20m2",3.5,20.0,Quận 7,Hồ Chí Minh,14/05/2018 
3346,"Phòng có sân thượng riêng 30m2 cực kì thoáng mát, ngay ngã tư Ung Văn Khiêm - D2, 3.2 triệu/th",3.2,30.0,Bình Thạnh,Hồ Chí Minh,14/05/2018 
3880,"Cho thuê phòng trọ mới giá rẻ đường Chu Văn An - P. 12 - Quận Bình Thạnh, WC riêng, giờ giấc tự do",3.3,22.0,Bình Thạnh,Hồ Chí Minh,14/05/2018 
4182,"Cho thuê phòng trọ hẻm 283 Huỳnh Tấn Phát, KCX Quận 7. Giá: 2.5 triệu",2.5,13.5,Quận 7,Hồ Chí Minh,14/05/2018 
4694,"Cho thuê phòng hẻm an ninh 144/5A Võ Duy Ninh, P. 22, Bình Thạnh, giá 2tr/tháng",2.0,15.0,Bình Thạnh,Hồ Chí Minh,14/05/2018 
