Id,Title,Price,Square,District,City,Date
2122158,Thuê phòng 2.5 triệu 20m2 căn bìa tầng trệt gần nhà hàng Riverside Q4,2.5 Triệu/tháng ,20m²,Quận 4,Hồ Chí Minh,"
29/11/2022 "
2119311,"Cho thuê phòng ĐẸP 16m2 đường Thành Thái-Q10, có chỗ để xe, giá rẻ",5 Triệu/tháng ,16m²,Quận 10,Hồ Chí Minh,"
25/11/2022 "
2118730,Cho thuê giường kén CAPSULE CAO CẤP SMART _ Trung tâm Q.3,2.8 Triệu/tháng ,30m²,Quận 3,Hồ Chí Minh,"
24/11/2022 "
2113773,Cho thuê phòng trọ tại phường 12 - gò vấp,5.5 Triệu/tháng ,20m²,Gò Vấp,Hồ Chí Minh,"
17/11/2022 "
2112161,"Nhà mới xây, Miễn phí cầu thang máy, điều hòa, Wife, SDT chủ nhà 0986.77.22.77",2.8 Triệu/tháng ,25m²,Bình Tân,Hồ Chí Minh,"
15/11/2022 "
2111349,"Phòng trọ giá rẻ quận 12, đủ 3-4 người ở, có gác giá chỉ 3.1 triệu.",3.1 Triệu/tháng ,15m²,Quận 12,Hồ Chí Minh,"
14/11/2022 "
2111350,"Phòng trọ gò vấp có ban công và nội thất chỉ 3tr6, tin được không !!!",3.6 Triệu/tháng ,15m²,Gò Vấp,Hồ Chí Minh,"
 14/11/2022 "
2111362,"Phòng cho thuê quận Bình Thạnh, đường Ung Văn Khiêm",4 Triệu/tháng ,28m²,Bình Thạnh,Hồ Chí Minh,"
14/11/2022 "
2109867,Căn hộ đẹp Tràn Ngập Tiện Nghi ngay trung tâm Q.1,6 Triệu/tháng ,30m²,Quận 1,Hồ Chí Minh,"
12/11/2022 "
2110131,Cho thuê phòng full nội thất giá tốt- phòng trống ở ngay.,4.5 Triệu/tháng ,20m²,Gò Vấp,Hồ Chí Minh,"
12/11/2022 "
2109043,"Căn hộ 2T bancony ngay chợ Bà Chiểu, sát hàng xanh, tiện đi Hutech, UEF, Hồng Bàng",6.5 Triệu/tháng ,25m²,Bình Thạnh,Hồ Chí Minh,"
 11/11/2022 "
1628369,"Cho Thuê Phòng Trọ Giá Bình Dân, Quận Tân Bình, TP. Hồ Chí Minh",1 Triệu/tháng ,8m²,Tân Bình,Hồ Chí Minh,"
11/11/2022 "
2108731,"Cho Thuê 2 PHÒNG TRỌ tại số 63/5 Phan Tây Hồ, P.7, Q. Phú Nhuận",5.5 Triệu/tháng ,33m²,Phú Nhuận,Hồ Chí Minh,"
10/11/2022 "
2105703,"Cho thuê phòng trọ đủ nội thất, giá chỉ 2tr8.",2.8 Triệu/tháng ,12m²,Gò Vấp,Hồ Chí Minh,"
07/11/2022 "
2105755,"Cho thuê phòng trọ bình chiểu,thủ đức ,khu cn sóng thần (có gác lửng, phòng vệ sinh trong phòng)",1 Triệu/tháng ,12m²,Thủ Đức,Hồ Chí Minh,"
07/11/2022 "
2095028,Phòng Ký túc xá Sát Đ.H Công Nghiệp Thực Phẩm,1.35 Triệu/tháng ,25m²,Tân Phú,Hồ Chí Minh,"
25/10/2022 "
2094225,Cho thuê phòng trọ có gác giá rẻ nhưng đầy đủ tiện ích và dịch vụ!!!,3.7 Triệu/tháng ,15m²,Quận 7,Hồ Chí Minh,"
24/10/2022 "
2063757,"Cho Thuê Phòng Đường Mai Văn Vĩnh, Quận 7, Ban Công Thoáng Mát!!!",4 Triệu/tháng ,20m²,Quận 7,Hồ Chí Minh,"
17/10/2022 "
2062577,"Cho Thuê Phòng Ở Đường Số 51, Tân Quy, Quận 7",4 Triệu/tháng ,20m²,Quận 7,Hồ Chí Minh,"
16/10/2022 "
2085692,"Căn hộ dịch vụ mới khai trương, ngay trong KDC Phong Phú 4 huỵện bình chánh",4 Triệu/tháng ,30m²,Bình Chánh,Hồ Chí Minh,"
13/10/2022 "
2083942,Cho thuê phòng KDC Trung Sơn 35-45m2. Hoặc nguyên tầng làm văn phòng đaị diện,8 Triệu/tháng ,40m²,Bình Chánh,Hồ Chí Minh,"
11/10/2022 "
2076676,"CHDV Giaỉ Phóng Tân Bình có gác,ban công chỉ 5tr8.",5.8 Triệu/tháng ,30m²,Tân Bình,Hồ Chí Minh,"
03/10/2022 "
2066592,"Cho thuê phòng trọ ở 28 tự lập, phường 4 , quận tân bình ,tp hcm.",5.3 Triệu/tháng ,40m²,Tân Bình,Hồ Chí Minh,"
21/09/2022 "
2065600,Phòng trọ ký túc xá quận phú nhuận 700k bao trọn gói,0.7 Triệu/tháng ,25m²,Phú Nhuận,Hồ Chí Minh,"
20/09/2022 "
2060596,"Cho thuê phòng mới đường Xuân Thới Sơn 27-Hóc Môn, 26m2-1.6tr/tháng",1.6 Triệu/tháng ,26m²,Hóc Môn,Hồ Chí Minh,"
14/09/2022 "
2040637,"Cho thuê phòng ĐẸP gần Đầm Sen và nhà thi đấu Phú Thọ, GIÁ RẺ nhất KV",1.5 Triệu/tháng ,15m²,Quận 11,Hồ Chí Minh,"
 22/08/2022 "
2039541,Phòng trọ nội thất tiện nghi Hà Thị Khiêm Lê Thị Nho CVPM Quang Trung Q12,3.5 Triệu/tháng ,25m²,Quận 12,Hồ Chí Minh,"
20/08/2022 "
2038120,"Cho thuê phòng trần q.thảo,q3. 2.2tr/tháng",2.2 Triệu/tháng ,16m²,Quận 3,Hồ Chí Minh,"
19/08/2022  "
2038230,Căn hộ mini cao cấp full nội thất tại Quận 1,5 Triệu/tháng ,25m²,Quận 1,Hồ Chí Minh,"
19/08/2022 "
2037208,"Phòng trọ 1,4tr/thang Sát bên đại học kinh tế Q10",1.4 Triệu/tháng ,35m²,Quận 10,Hồ Chí Minh,"
18/08/2022 "
2023597,Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH,5.5 Triệu/tháng ,35m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2023601,"Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH P.25, P.22, P.24",4 Triệu/tháng ,25m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2023611,"Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH khu vực P.25, P.22",3.5 Triệu/tháng ,25m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2023615,Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH khu vực P.25,3.2 Triệu/tháng ,20m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2023619,Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH khu vực P.22,6 Triệu/tháng ,37m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2023623,"Phòng trọ Bình Thạnh thuận tiện cho sinh viên gần nhiều trường ĐH Hutech, Ngoại thương, GTVT...",4.9 Triệu/tháng ,25m²,Bình Thạnh,Hồ Chí Minh,"
04/08/2022 "
2017154,"Cho thuê phòng trọ giá bình dân phường 5, quận tân bình, giá 1,8tr.",1.8 Triệu/tháng ,10m²,Tân Bình,Hồ Chí Minh,"
28/07/2022 "
