,Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date,Type,ValueType,ValueDistrict
0,478324,"Cho thuê phòng để ở tại 108/64A1 Trần Quang Diệu, P.14, Q.3- 18m2, 3,5tr/ tháng",3.5,18.0,Quận 3,Hồ Chí Minh,20/06/2020,Phòng trọ,2.2158964012891964,3.0926301555104803
1,723089,"Phòng trọ,căn hộ mini đầy đủ tiện nghi ngay trung tâm Q4 DT 70m2",6.0,70.0,Quận 4,Hồ Chí Minh,21/11/2018,Căn hộ,3.322310410225767,2.09375
2,728993,Phòng vừa xây xong thoáng mát gần các trường ĐH Q7,3.3,25.0,Quận 7,Hồ Chí Minh,17/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
3,745037,"Cho nam thuê phòng (ghép) tại quận 10. Nhà ở thoáng mát, tiện nghi",1.45,8.0,Quận 10,Hồ Chí Minh,03/10/2018,Phòng ở ghép,1.0,2.520494469746259
4,781296,Cần share lại gấp phòng trọ mới thuê tại đường Thành Thái quận 10,3.0,15.0,Quận 10,Hồ Chí Minh,05/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
5,781607,Cho thuê phòng trọ Tân Bình giá rẻ đường Nhất Chi Mai,2.2,18.0,Tân Bình,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
6,781686,"Cho thuê phòng trọ, quận Gò Vấp. An ninh đảm bảo, không ồn ào, có wc riêng.",2.2,13.9,Gò Vấp,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
7,789361,"Phòng cho thuê giá rẻ, Quận Gò Vấp gần chung cư An Lộc ",1.7,12.0,Gò Vấp,Hồ Chí Minh,09/10/2018,Căn hộ,3.322310410225767,1.9714989444053483
8,835899,Cho thuê phòng ở 217 hoàng văn thụ dt: 20m2 - 30m2 giá 5 triệu và 6.5 triệu phòng đẹp Ngay sân bay,5.0,30.0,Phú Nhuận,Hồ Chí Minh,29/09/2018,Phòng trọ,2.2158964012891964,3.271339739966083
9,835904,Cho thuê phòng ở 217 nguyễn văn trỗi dt: 20m2 - 30m2 giá 5 triệu và 6.5 triệu phòng đẹp Ngay sân b,5.0,30.0,Phú Nhuận,Hồ Chí Minh,29/09/2018,Phòng trọ,2.2158964012891964,3.271339739966083
10,835908,Cho thuê phòng ở 11 trương quốc dung dt: 20m2 - 30m2 giá 5 triệu và 6.5 triệu phòng đẹp gần sân bay,5.0,30.0,Phú Nhuận,Hồ Chí Minh,29/09/2018,Phòng trọ,2.2158964012891964,3.271339739966083
11,835953,KTX cho thuê tại 150 Nguyễn thị thập giá từ 450 k,0.45,25.0,Quận 7,Hồ Chí Minh,29/09/2018,KTX,1.481689296269328,2.6204352741661956
